date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:46	156/156	---MC-	200	added ('OK')	text/plain	date:Wed,%2030%20Aug%202017%2018:24:51%20GMT	https://medimodo.com/robots.txt		(from )
13:24:47	76510/76510	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Aug%202017%2018:24:52%20GMT	https://medimodo.com/	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/index.html	(from )
13:24:47	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2030%20Aug%202017%2018:24:53%20GMT	https://medimodo.com/xmlrpc.php	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/xmlrpc.php	(from https://medimodo.com/)
13:24:48	508/508	---M--	200	added ('OK')	image/png	etag:%221fc-54900a0d5ecbe%22	https://medimodo.com/wp-content/uploads/2017/02/medimodo-icon-16-transparent-lighter.png	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/wp-content/uploads/2017/02/medimodo-icon-16-transparent-lighter.png	(from https://medimodo.com/)
13:24:48	21225/21225	---M--	200	added ('OK')	image/png	etag:%2252e9-548ffefdf082d%22	https://medimodo.com/wp-content/uploads/2017/02/checklist.png	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/wp-content/uploads/2017/02/checklist.png	(from https://medimodo.com/)
13:24:48	36422/36422	---M--	200	added ('OK')	image/png	etag:%228e46-54900bc44547b%22	https://medimodo.com/wp-content/uploads/2017/02/target.png	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/wp-content/uploads/2017/02/target.png	(from https://medimodo.com/)
13:24:48	22025/22025	---M--	200	added ('OK')	image/png	etag:%225609-54900c133f60e%22	https://medimodo.com/wp-content/uploads/2017/02/doctor-1.png	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/wp-content/uploads/2017/02/doctor-1.png	(from https://medimodo.com/)
13:24:50	32959/32959	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Aug%202017%2001:11:09%20GMT	http://www.google-analytics.com/analytics.js	K:/Development/medimodo-info-site/httrack/medimodo/www.google-analytics.com/analytics.js	(from https://medimodo.com/)
13:24:50	733/733	---MC-	200	added ('OK')	application/rss+xml	etag:%22b624989d44e80fc7d5a1a64b816b992d%22	https://medimodo.com/comments/feed/	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/comments/feed/index.html	(from https://medimodo.com/)
13:24:50	1166/1166	---MC-	200	added ('OK')	application/rss+xml	etag:%222923322c928263f07d6bf465011e12db%22	https://medimodo.com/feed/	K:/Development/medimodo-info-site/httrack/medimodo/medimodo.com/feed/index.html	(from https://medimodo.com/)
